Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD0R1	0	0	0	0	0	0	0	0	0	0	0	0.03332639	0	0	0.012497396	0	0	0	0	0	0.070818579	4.823995001	0	0	0	0	0	0.029160592	0	0	0	0.020828994	0	0	0	0	0	0.020828994	0	0	0	0	0	0.287440117	0	0	0	0	0.27494272	0	0	0	0	0.070818579	0	0	0	0	0	0.220787336	0.13747136	0	0	0	3.903353468	0	0	0	0	0	0	0.020828994	0	0	0	0	0	0	0	0	0	0	0	0	0.095813372	0	0	0.016663195	0	0	0	0	0	0	0	0.062486982	0	16.67569256	0.095813372	0	0	0	0	1.099770881	0	0.029160592	0	0	0	0	21.0247865	10.74776088	0	0	0.004165799	0.024994793	0	0	0	0	0	0.233284732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112476567	0	0	0	0	0	0	0.020828994	0	0	0	0	0	0	6.352843158	0	0	0	0	0	4.93230577	14.08456572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166631952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.49302229	0.041657988	0	0.75817538	0	0	0
LDD0R2	0	0	0.018181818	0	0	0	0	0	0	0	0	0	0	0	0.036363636	0	0	0	0	0	0.078787879	5.939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.115151515	0	0	0	0	0	0	0	0	0	0	0.315151515	0	0	0	0	2.703030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060606061	0	0	0	0	0	22.07272727	0.109090909	0	0	0	0	1.054545455	0	0	0	0	0	0.054545455	22.06666667	9.260606061	0	0	0.072727273	0.103030303	0	0	0	0	0	0.127272727	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	0	0	0	0.054545455	0	0	0	0	0	0	0	0	0	0	0	0	0	6.909090909	0	0.03030303	0	0	0	1.684848485	16.1030303	0	0	0	0	0.012121212	0	0	0	0	0	0	0	0	0	0	0	0	0.03030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03030303	0	0	0	9.684848485	0	0	0.939393939	0	0	0
LDD0R3	0.061264272	0.022277917	0	0	0	0	0.050125313	0	0	0	0	0	0	0	0.07240323	0	0	0	0	0	0.105820106	4.817599554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217209691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172653857	0.172653857	0	0	0	4.188248399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044555834	0	0	0	0	0	15.26037316	0.139236981	0	0	0	0	0.907825118	0	0	0	0	0	0.044555834	17.16513506	8.521303258	0	0	0	0.116959064	0	0	0	0	0	0.189362295	0	0	0	0	0	0	0	0	0	0	0	0	0.066833751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.443887497	0	0.038986355	0	0	0	4.015594542	22.6566416	0	0	0	0	0.07797271	0	0	0	0	0	0	0	0	0	0	0	0	0.038986355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061264272	0	0	0	13.52826511	0	0	0.802005013	0	0	0
LDD10CF70R1	0.070480929	0.012437811	1.509121061	0	0	0	0.037313433	0	0	0	0	0.029021559	0	0	0.078772803	0	0	0	0	0.020729685	0.186567164	0.024875622	0.049751244	0	0	0	0	0.087064677	0	0	0.045605307	0	0	0	0	0	0	0.045605307	0	0	0.016583748	0	0	0	0.053897181	0	0	0	0.696517413	0	0	0	0	0.248756219	0	0.074626866	0	0	0	0.941127695	0	0	0.83747927	0	10.06633499	0	0.107794362	0	0	0	0	2.533167496	0	0.020729685	0.240464345	0	0	0.029021559	0	0	0	0	0	0	2.935323383	0	0	0	0	0	0	0.128524046	0	0	0	0.091210614	0	0.066334992	0	0	0	0	0	0.422885572	0	0	0	0	0	0	0.062189055	0.045605307	0	0	0.033167496	0.078772803	0	0	0	0	0	1.459369818	0	0	0	0	0	0	0	0.020729685	0	0.066334992	0	0	0.116086235	0	0	0	0	0.058043118	0	0	0	0	0	0	0.024875622	0	0	0.037313433	0	0	0	0	0	0	0	0	0	0.675787728	8.320895522	0.04145937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.36401327	0	0.107794362	0	0	0	0.48092869	0	0	0	0	0	0	0	0	0	0.045605307	0	0	0	19.03814262	0.451907131	0	0.045605307	0.717247098	0	0
LDD10CF70R2	0	0	0.45153522	0	0	0	0.371262292	0	0	0	0	0	0	0	4.505318081	0	0	0	0	0	0	0	8.288179811	0	0	0	0	0.15051174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060204696	0	0	0	0.832831628	0	0	0	0	0.080272928	0	0	0	0.60204696	0	1.304435079	0	0	0	0	14.55950231	0	0	0	0	0	0	1.374673891	0	0	0.983343367	0	0	0	0	0	0	0	0	0	1.053582179	0	0	0	0	0	0	0.090307044	0	0	0	0	0	0.120409392	0	0	0	0	0	0.722456352	0	0	0	0	0	0	0.120409392	0.110375276	0	0	0	0.080272928	0	0	0	0	0	2.508528999	0	0	0	0	0	0	0	0	0	0.15051174	0	0	0.180614088	0	0	0	0	0	0	0	0	0	0	0	0.120409392	0	0	0	0	0	0	0	0	0	0	0	0.140477624	3.572145294	15.60305037	0	0	0	0.180614088	0	0	0	0	0	0	0	0	0	0	0	0	0	3.812964078	0	0	0	0	0	0.872968092	0	0	0	0	0	0	0	0	0	0	0	0	0	35.13947421	0.35119406	0	0	1.505117399	0	0
LDD10CF70R3	0	0	0.120675784	0	0	0	0.026816841	0	0	0	0	0	0	0	15.12022884	0	0	0	0	0	0	0	29.53875034	0	0	0	0	0.058103155	0	0	0	0.035755788	0	0	0	0.026816841	0	0	0	0	0	0	0	0	0	0	0	0	0.884955752	0	0	0	0	0.08938947	0	0	0	1.363189416	0	0.236882095	0	0	0	0	3.03030303	0	0	0	0	0	0	0.808974703	0	0	0.978814696	0	0	0	0	0	0	0	0	0	0.621256816	0	0	0	0	0	0	0.214534728	0	0	0	0	0.290515777	0.487172611	0	0	0	0	0	4.442656655	0	0	0	0	0	0	0.3709663	1.676052561	0	0	0.049164208	0.062572629	0	0	0	0	0	1.644766247	0	0	0	0	0	0	0	0	0	0.08938947	0	0	0.10279789	0	0	0	0	0.053633682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080450523	0	0	0.040225261	1.363189416	4.916420846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78913024	0	0.017877894	0	0	0	0.241351569	0	0	0	0	0	0	0	0	0	0.026816841	0	0	0	22.17305801	0.65254313	0	0.791096809	0.482703138	0	0
LDD10MHPR1	0	0	0	0	0	0	0	0	0	0	0	0.032084704	0	0	2.935750381	0	0	0	0	0	0	0	3.384936232	0.144381166	0	0	0	0.048127055	0	0	0	0	0	0	0	0	0	0	0	0	0.906392877	0	0	0	0	0	0	0	0.080211759	0	0	0	0	0.104275287	0	0	0	0	0	2.598860993	0	0	0	0	8.815272319	0	0	0	0.024063528	0	0	0.016042352	0	0.056148231	0	0	0	0	0	0	0	0	0	0	0.216571749	0	0	0	0	0	0	0.112296463	0	0	0	0	0.072190583	0.537418786	0	0	0	0	0	0	0	0	0	0.168444694	0	0	0	0	0.120317639	0	0	0	0	0	0	0	0	29.4938638	0	0	0	0	0	0	0	0	0	0.032084704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112296463	0	0	0	0.04010588	0.104275287	2.454479827	0	0	0	4.652282025	18.50485281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481270554	0.152402342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.99406433	1.37162108	0.232614101	0	0	0	0
LDD10MHPR2	0	0	0	0	0	0	0	0	0.015260186	0	0	0.038150465	0	0	1.625209828	0	0	0	0	0	0	0.068670838	0.343354189	0.389134747	0	0	0	0.083931024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076300931	0	0	0	0	3.082557607	0	0	0	0	0	1.6557302	0	0	0	0	27.06394018	0	0	0	0.053410652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.357698764	0	0	0	0	0	0	0	0	0	0	0	0	0.114451396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053410652	0	0	0	0	0	29.64291164	0	0	0	0	0	0	0	0	0	0	0	0	0.122081489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.85762246	0	0	0	0	0	1.670990386	0	0	0	1.205554708	11.17045628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785899588	0.068670838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015260186	0.022890279	0	0	6.485579124	0.930871357	0	0	0	0	0
LDD10MHPR3	0	0	0	0	0	0	0.018661591	0	0.007464636	0	0	0.022393909	0	0	5.318553353	0	0	0	0	0	0	0.111969544	3.441197328	0.070914045	0	0	0	0.048520136	0	0	0	0	0	0	0	0	0	0	0	0	5.736572985	0	0	0	0.022393909	0.070914045	0	0	0.0410555	0	0	0	0	0.0410555	0	0.011196954	0	0	0	0.335908633	0	0	0	0	3.374015601	0	0	0	0	0	0	0	0	0.130631135	0	0	0	0	0	0	0	0	0	0	20.41204792	0	0	0	0	0	0	0	0	0	0	0.05971709	0.153025044	0.58224163	0.0410555	0	0.022393909	0	0	0.033590863	0	0	0	0.287388497	0	0.022393909	0.209009816	0	0.209009816	0	0.052252454	0.033590863	0	0	0	0	0	24.87590042	0	0	0	0	0	0	0	0	0	0	0	0	0.055984772	0	0	0	0	0.063449408	0	0	0	0	0	0	0	0	0	0.048520136	0	0	0	0.029858545	0.287388497	4.333221364	0	0	0	0.895756354	6.154592617	0.022393909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317247042	0.403090359	0.018661591	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026126227	0	0	0	15.38088307	5.564886351	0.548650767	0.011196954	0.0410555	0	0
LDD10MLPR1	0	0	0.729451609	0	0	0	0.133515696	0	0	0.117233294	0.065129608	1.06812557	0.481959099	0	0.055360167	0.094437931	0.240979549	0	0	0.296339716	1.80734662	0.065129608	0.188875863	0.071642569	0	0	0	3.135990621	0	0.322391559	0	0	1.475185619	0	0	0	0	0	0	0	0	2.445616777	0.16282402	1.787807737	0	0	0	0	0.065129608	0	0	0	0	15.05145239	0	0	0	0	0	0.198645304	0	0	0	0	0.394034128	0	0.019538882	0	0	0.524293344	0	0.065129608	0	5.418783379	0	0	0	0	0	0	0	0	0	0.127002735	1.719421649	0	0	0	0	0	0	0	0	0.397290608	0	15.95024098	0	0	0	0	0	0	0	0	0	0.407060049	0	0	0	0	0.019538882	0	0	0	0	5.565324997	0	0	0	0	0	0.638270158	0	0	0	0	0	0	0	0	0	0.071642569	0.537319265	0	8.118405627	0	0	0.039077765	0	1.751986453	0	0	0	0	0	0.045590726	0	0	0	0.035821284	0	0	0	0	0	0.358212844	0	0	0	0.182362902	6.366419174	0.029308324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.45655855	0	0.039077765	0	0	0	0	0	0	0	0	0	0	0	0.08466849	0.286570275	4.383222613	0	0	0	5.669532369	0.16282402	0	0	0.074899049	0	0
